Fecha,Año,Semana,Perfil,Semana_ID
2025-11-24,2025,48,EXPANSIÓN_ALCISTA,2025-W48
2025-11-25,2025,48,MEGÁFONO,2025-W48
2025-11-26,2025,48,EXPANSIÓN_ALCISTA,2025-W48
2025-12-01,2025,49,EXPANSIÓN_ALCISTA,2025-W49
2025-12-02,2025,49,EXPANSIÓN_ALCISTA,2025-W49
2025-12-03,2025,49,MEGÁFONO,2025-W49
2025-12-04,2025,49,MEGÁFONO,2025-W49
2025-12-05,2025,49,TRAMPA_BULL,2025-W49
2025-12-08,2025,50,MEGÁFONO,2025-W50
2025-12-09,2025,50,MEGÁFONO,2025-W50
2025-12-10,2025,50,MEGÁFONO,2025-W50
2025-12-11,2025,50,MEGÁFONO,2025-W50
2025-12-12,2025,50,EXPANSIÓN_BAJISTA,2025-W50
2025-12-15,2025,51,MEGÁFONO,2025-W51
2025-12-16,2025,51,TRAMPA_BULL,2025-W51
2025-12-17,2025,51,EXPANSIÓN_BAJISTA,2025-W51
2025-12-18,2025,51,EXPANSIÓN_ALCISTA,2025-W51
2025-12-19,2025,51,EXPANSIÓN_ALCISTA,2025-W51
2025-12-22,2025,52,MEGÁFONO,2025-W52
2025-12-23,2025,52,EXPANSIÓN_ALCISTA,2025-W52
2025-12-26,2025,52,MEGÁFONO,2025-W52
2025-12-29,2026,1,TRAMPA_BEAR,2026-W1
2025-12-30,2026,1,MEGÁFONO,2026-W1
2025-12-31,2026,1,MEGÁFONO,2026-W1
2026-01-02,2026,1,MEGÁFONO,2026-W1
2026-01-05,2026,2,EXPANSIÓN_ALCISTA,2026-W2
2026-01-06,2026,2,EXPANSIÓN_ALCISTA,2026-W2
2026-01-07,2026,2,TRAMPA_BULL,2026-W2
2026-01-08,2026,2,TRAMPA_BEAR,2026-W2
2026-01-09,2026,2,MEGÁFONO,2026-W2
2026-01-12,2026,3,EXPANSIÓN_ALCISTA,2026-W3
2026-01-13,2026,3,TRAMPA_BEAR,2026-W3
2026-01-14,2026,3,EXPANSIÓN_BAJISTA,2026-W3
2026-01-15,2026,3,TRAMPA_BULL,2026-W3
2026-01-16,2026,3,MEGÁFONO,2026-W3
2026-01-20,2026,4,TRAMPA_BULL,2026-W4
2026-01-21,2026,4,EXPANSIÓN_ALCISTA,2026-W4
2026-01-22,2026,4,RANGO,2026-W4
2026-01-23,2026,4,EXPANSIÓN_ALCISTA,2026-W4
2026-01-26,2026,5,EXPANSIÓN_ALCISTA,2026-W5
2026-01-27,2026,5,MEGÁFONO,2026-W5
2026-01-28,2026,5,TRAMPA_BEAR,2026-W5
2026-01-29,2026,5,EXPANSIÓN_BAJISTA,2026-W5
2026-01-30,2026,5,MEGÁFONO,2026-W5
2026-02-02,2026,6,EXPANSIÓN_ALCISTA,2026-W6
2026-02-03,2026,6,EXPANSIÓN_BAJISTA,2026-W6
2026-02-04,2026,6,EXPANSIÓN_BAJISTA,2026-W6
2026-02-05,2026,6,EXPANSIÓN_BAJISTA,2026-W6
2026-02-06,2026,6,EXPANSIÓN_ALCISTA,2026-W6
2026-02-09,2026,7,MEGÁFONO,2026-W7
2026-02-10,2026,7,MEGÁFONO,2026-W7
2026-02-11,2026,7,MEGÁFONO,2026-W7
2026-02-12,2026,7,EXPANSIÓN_BAJISTA,2026-W7
2026-02-13,2026,7,MEGÁFONO,2026-W7
2026-02-17,2026,8,MEGÁFONO,2026-W8
2026-02-18,2026,8,MEGÁFONO,2026-W8
2026-02-19,2026,8,TRAMPA_BEAR,2026-W8
2026-02-20,2026,8,MEGÁFONO,2026-W8
2026-02-23,2026,9,MEGÁFONO,2026-W9
2026-02-24,2026,9,MEGÁFONO,2026-W9
2026-02-25,2026,9,EXPANSIÓN_ALCISTA,2026-W9
2026-02-26,2026,9,EXPANSIÓN_BAJISTA,2026-W9
2026-02-27,2026,9,TRAMPA_BEAR,2026-W9
2026-03-02,2026,10,EXPANSIÓN_ALCISTA,2026-W10
2026-03-03,2026,10,MEGÁFONO,2026-W10
2026-03-04,2026,10,EXPANSIÓN_ALCISTA,2026-W10
2026-03-05,2026,10,MEGÁFONO,2026-W10
2026-03-06,2026,10,TRAMPA_BEAR,2026-W10
2026-03-09,2026,11,EXPANSIÓN_ALCISTA,2026-W11
2026-03-10,2026,11,TRAMPA_BULL,2026-W11
2026-03-11,2026,11,MEGÁFONO,2026-W11
2026-03-12,2026,11,EXPANSIÓN_BAJISTA,2026-W11
2026-03-13,2026,11,MEGÁFONO,2026-W11
