date,weekday,direction,result,pnl_pts
2024-04-17,Miércoles,SELL,LOSS,-71.1
2024-05-02,Jueves,SELL,WIN,21.9
2024-06-10,Lunes,BUY,FLAT,-10.3
2024-06-21,Viernes,BUY,WIN,33.1
2024-07-01,Lunes,BUY,LOSS,-51.5
2024-08-19,Lunes,BUY,WIN,47.2
2024-09-13,Viernes,BUY,LOSS,-32.7
2024-09-30,Lunes,BUY,WIN,49.1
2024-10-07,Lunes,BUY,WIN,38.4
2024-10-21,Lunes,BUY,WIN,62.8
2024-11-08,Viernes,BUY,WIN,49.7
2024-11-18,Lunes,BUY,FLAT,-18.2
2024-11-22,Viernes,BUY,WIN,71.4
2024-12-20,Viernes,BUY,WIN,101.1
2024-12-23,Lunes,BUY,FLAT,10.9
2025-01-27,Lunes,BUY,WIN,261.0
2025-02-14,Viernes,BUY,FLAT,38.5
2025-03-11,Martes,SELL,LOSS,-78.6
2025-03-12,Miércoles,SELL,FLAT,-9.9
2025-03-13,Jueves,SELL,WIN,88.6
2025-03-19,Miércoles,SELL,LOSS,-55.8
2025-04-04,Viernes,BUY,FLAT,48.1
2025-04-11,Viernes,BUY,FLAT,72.1
2025-04-16,Miércoles,SELL,WIN,149.1
2025-04-25,Viernes,BUY,FLAT,-61.0
2025-05-19,Lunes,BUY,WIN,56.4
2025-07-11,Viernes,BUY,WIN,23.0
2025-08-11,Lunes,BUY,FLAT,37.9
2025-08-15,Viernes,BUY,LOSS,-39.3
2025-08-18,Lunes,BUY,WIN,18.2
2025-08-29,Viernes,BUY,LOSS,-53.8
2025-11-14,Viernes,BUY,LOSS,-199.3
2025-11-17,Lunes,BUY,LOSS,-151.7
2025-12-29,Lunes,BUY,WIN,42.6
